project,street,postal,year,typeOfSale,propertyType,price_psm,lat,lon
PARC RIVIERA,WEST COAST VALE,,2023,3,Condominium,16650.0,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16308.41121495327,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,15700.934579439252,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16547.619047619046,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2023,3,Condominium,16916.666666666668,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16071.42857142857,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16217.391304347826,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,17142.85714285714,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,15928.57142857143,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16666.666666666668,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2023,3,Condominium,17228.260869565216,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16607.14285714286,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16515.151515151516,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16482.14285714286,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2023,3,Condominium,16964.285714285714,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,14666.666666666666,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2023,3,Condominium,17023.809523809523,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2023,3,Condominium,17300.0,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,15727.272727272728,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16875.0,1.320817692384934,103.7526673092539
